doc_id,source,title,url,download_date,publication_date,license,file_path,format,domain_tag
cdc_index,cdc,About Influenza | Influenza (Flu) | CDC,https://www.cdc.gov/tb/prevention/index.html,2026-04-19,,public-domain,data/raw/cdc_who/index.html,html,infectious_disease
cdc_index,cdc,About Influenza | Influenza (Flu) | CDC,https://www.cdc.gov/pneumonia/about/index.html,2026-04-19,,public-domain,data/raw/cdc_who/index.html,html,infectious_disease
cdc_index,cdc,About Influenza | Influenza (Flu) | CDC,https://www.cdc.gov/sepsis/about/index.html,2026-04-19,,public-domain,data/raw/cdc_who/index.html,html,infectious_disease
who_influenza-(seasonal),who,Influenza (seasonal),https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),2026-04-19,,public-domain,data/raw/cdc_who/influenza-(seasonal).html,html,infectious_disease
who_tuberculosis,who,Tuberculosis,https://www.who.int/news-room/fact-sheets/detail/tuberculosis,2026-04-19,,public-domain,data/raw/cdc_who/tuberculosis.html,html,infectious_disease
who_hiv-aids,who,HIV and AIDS,https://www.who.int/news-room/fact-sheets/detail/hiv-aids,2026-04-19,,public-domain,data/raw/cdc_who/hiv-aids.html,html,infectious_disease
who_pneumonia,who,Pneumonia in children,https://www.who.int/news-room/fact-sheets/detail/pneumonia,2026-04-19,,public-domain,data/raw/cdc_who/pneumonia.html,html,infectious_disease
who_sepsis,who,Sepsis,https://www.who.int/news-room/fact-sheets/detail/sepsis,2026-04-19,,public-domain,data/raw/cdc_who/sepsis.html,html,infectious_disease
mlp_diabetes,medlineplus,diabetes,https://medlineplus.gov/connect/service?mainSearchCriteria.v.dn=diabetes,2026-04-19,,public-domain,data/raw/medlineplus/diabetes.json,json,general
mlp_asthma,medlineplus,asthma,https://medlineplus.gov/connect/service?mainSearchCriteria.v.dn=asthma,2026-04-19,,public-domain,data/raw/medlineplus/asthma.json,json,general
mlp_stroke,medlineplus,stroke,https://medlineplus.gov/connect/service?mainSearchCriteria.v.dn=stroke,2026-04-19,,public-domain,data/raw/medlineplus/stroke.json,json,general
